task,avg_err
all_0_vs_rest,0.12205387205387204
all_1_vs_rest,0.11868686868686867
all_2_vs_rest,0.11868686868686867
all_3_vs_rest,0.11531986531986532
all_4_vs_rest,0.12457912457912457
all_5_vs_rest,0.117003367003367
all_6_vs_rest,0.12205387205387207
all_7_vs_rest,0.11868686868686867
all_8_vs_rest,0.132996632996633
all_9_vs_rest,0.11616161616161616
all_all_vs_rest,0.013127051101734646
frontal_0_vs_rest,0.12037037037037039
frontal_1_vs_rest,0.11868686868686867
frontal_2_vs_rest,0.10774410774410775
frontal_3_vs_rest,0.1271043771043771
frontal_4_vs_rest,0.12037037037037039
frontal_5_vs_rest,0.12205387205387204
frontal_6_vs_rest,0.11868686868686867
frontal_7_vs_rest,0.11868686868686867
frontal_8_vs_rest,0.11784511784511784
frontal_9_vs_rest,0.12205387205387204
frontal_all_vs_rest,0.013408345053914675
occipital_0_vs_rest,0.12289562289562289
occipital_1_vs_rest,0.12457912457912457
occipital_2_vs_rest,0.12457912457912457
occipital_3_vs_rest,0.11868686868686867
occipital_4_vs_rest,0.1212121212121212
occipital_5_vs_rest,0.11952861952861953
occipital_6_vs_rest,0.11784511784511784
occipital_7_vs_rest,0.12542087542087543
occipital_8_vs_rest,0.11531986531986534
occipital_9_vs_rest,0.11784511784511784
occipital_all_vs_rest,0.01350210970464135
parietal_0_vs_rest,0.12373737373737373
parietal_1_vs_rest,0.12626262626262624
parietal_2_vs_rest,0.117003367003367
parietal_3_vs_rest,0.12037037037037039
parietal_4_vs_rest,0.12205387205387204
parietal_5_vs_rest,0.11952861952861953
parietal_6_vs_rest,0.117003367003367
parietal_7_vs_rest,0.11447811447811447
parietal_8_vs_rest,0.12205387205387204
parietal_9_vs_rest,0.11868686868686867
parietal_all_vs_rest,0.013220815752461323
temporal_0_vs_rest,0.12289562289562289
temporal_1_vs_rest,0.1186868686868687
temporal_2_vs_rest,0.12289562289562289
temporal_3_vs_rest,0.12626262626262624
temporal_4_vs_rest,0.12373737373737376
temporal_5_vs_rest,0.11531986531986534
temporal_6_vs_rest,0.11952861952861953
temporal_7_vs_rest,0.12373737373737376
temporal_8_vs_rest,0.11952861952861953
temporal_9_vs_rest,0.11447811447811447
temporal_all_vs_rest,0.013877168307548053
